Fiscal Year,Quarter Ending,County_Number,County,City,Number of Returns,Taxable Sales,Computed Tax,Percent of Tax,FIPS County Code,Primary Lat Dec,Primary Long Dec
2012,09/30/2011,1,Adair,Greenfield,112,5806502.00,347969.00,0.07,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Adair,58,3113359.00,184309.00,0.04,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Fontanelle,38,1175786.00,70547.00,0.01,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Stuart,28,2760190.00,158996.00,0.03,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Orient,16,274254.00,16449.00,0,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Bridgewater,11,418585.00,25115.00,0,19001,41.3307464,-94.4709413
2012,09/30/2011,1,Adair,Other,14,1104008.00,66240.00,0.01,19001,41.3307464,-94.4709413
2012,09/30/2011,2,Adams,Corning,127,5621721.00,336689.00,0.06,19003,41.0289839,-94.6991849
2012,09/30/2011,2,Adams,Other,29,1407566.00,84454.00,0.02,19003,41.0289839,-94.6991849
2012,09/30/2011,3,Allamakee,Waukon,239,14470389.00,866527.00,0.17,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Lansing,85,3535844.00,211282.00,0.04,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Postville,81,4001094.00,240039.00,0.05,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Harpers Ferry,35,700714.00,41650.00,0.01,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,New Albin,26,366699.00,22002.00,0,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Waterville,11,128147.00,7689.00,0,19005,43.2842838,-91.3780923
2012,09/30/2011,3,Allamakee,Other,31,623250.00,37395.00,0.01,19005,43.2842838,-91.3780923
2012,09/30/2011,4,Appanoose,Centerville,275,21680227.00,1297777.00,0.25,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Moravia,51,3459657.00,193106.00,0.04,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Moulton,27,377052.00,22623.00,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Cincinnati,20,121790.00,7307.00,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Mystic,12,103398.00,6204.00,0,19007,40.7431635,-92.8686104
2012,09/30/2011,4,Appanoose,Other,27,208825.00,12258.00,0,19007,40.7431635,-92.8686104
2012,09/30/2011,5,Audubon,Audubon,152,7321038.00,438884.00,0.08,19009,41.6845893,-94.9058222
2012,09/30/2011,5,Audubon,Exira,43,933913.00,56035.00,0.01,19009,41.6845893,-94.9058222
2012,09/30/2011,5,Audubon,Other,28,696932.00,41816.00,0.01,19009,41.6845893,-94.9058222
2012,09/30/2011,6,Benton,Vinton,214,12539631.00,750894.00,0.14,19011,42.0801864,-92.0656912
2012,09/30/2011,6,Benton,Belle Plaine,100,5033654.00,301947.00,0.06,19011,42.0801864,-92.0656912
